,date,time,comp,round,day,venue,gf,ga,opponent,poss,attendance,formation,sh,save%,season,team
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,3.0,2.0,RB Leipzig,44.0,29464.0,3-4-3,11.0,66.7,2024,Bayer Leverkusen
2,2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Away,3.0,0.0,M'Gladbach,60.0,54042.0,3-4-3,24.0,100.0,2024,Bayer Leverkusen
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,5.0,1.0,Darmstadt 98,72.0,29653.0,3-4-3,25.0,0.0,2024,Bayer Leverkusen
4,2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Away,2.0,2.0,Bayern Munich,49.0,75000.0,3-4-3,12.0,77.8,2024,Bayer Leverkusen
6,2023-09-24,15:30,Bundesliga,Matchweek 5,Sun,Home,4.0,1.0,Heidenheim,71.0,29557.0,3-4-3,20.0,50.0,2024,Bayer Leverkusen
7,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,3.0,0.0,Mainz 05,55.0,33305.0,3-4-3,6.0,100.0,2024,Bayer Leverkusen
9,2023-10-08,15:30,Bundesliga,Matchweek 7,Sun,Home,3.0,0.0,Köln,64.0,30210.0,3-4-3,23.0,100.0,2024,Bayer Leverkusen
10,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,2.0,1.0,Wolfsburg,58.0,28917.0,3-4-3,13.0,83.3,2024,Bayer Leverkusen
12,2023-10-29,17:30,Bundesliga,Matchweek 9,Sun,Home,2.0,1.0,Freiburg,70.0,30210.0,3-4-3,18.0,66.7,2024,Bayer Leverkusen
14,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Away,3.0,2.0,Hoffenheim,53.0,30150.0,3-4-3,9.0,71.4,2024,Bayer Leverkusen
16,2023-11-12,15:30,Bundesliga,Matchweek 11,Sun,Home,4.0,0.0,Union Berlin,69.0,29387.0,3-4-3,18.0,100.0,2024,Bayer Leverkusen
17,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,3.0,0.0,Werder Bremen,59.0,42100.0,3-4-3,14.0,100.0,2024,Bayer Leverkusen
19,2023-12-03,17:30,Bundesliga,Matchweek 13,Sun,Home,1.0,1.0,Dortmund,69.0,30210.0,3-4-3,23.0,50.0,2024,Bayer Leverkusen
21,2023-12-10,15:30,Bundesliga,Matchweek 14,Sun,Away,1.0,1.0,Stuttgart,48.0,54500.0,3-4-3,18.0,90.0,2024,Bayer Leverkusen
23,2023-12-17,17:30,Bundesliga,Matchweek 15,Sun,Home,3.0,0.0,Eint Frankfurt,61.0,30210.0,3-4-3,14.0,100.0,2024,Bayer Leverkusen
24,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Home,4.0,0.0,Bochum,69.0,30210.0,3-4-1-2,15.0,100.0,2024,Bayer Leverkusen
25,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Away,1.0,0.0,Augsburg,76.0,30055.0,3-4-1-2,24.0,,2024,Bayer Leverkusen
26,2024-01-20,18:30,Bundesliga,Matchweek 18,Sat,Away,3.0,2.0,RB Leipzig,60.0,46529.0,3-4-3,18.0,66.7,2024,Bayer Leverkusen
27,2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Home,0.0,0.0,M'Gladbach,75.0,30210.0,3-4-3,28.0,100.0,2024,Bayer Leverkusen
28,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,2.0,0.0,Darmstadt 98,67.0,17810.0,3-4-3,20.0,100.0,2024,Bayer Leverkusen
30,2024-02-10,18:30,Bundesliga,Matchweek 21,Sat,Home,3.0,0.0,Bayern Munich,39.0,30210.0,3-4-3,14.0,100.0,2024,Bayer Leverkusen
1,2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Away,4.0,0.0,Werder Bremen,72.0,42100.0,4-2-3-1,25.0,100.0,2024,Bayern Munich
2,2023-08-27,17:30,Bundesliga,Matchweek 2,Sun,Home,3.0,1.0,Augsburg,61.0,75000.0,4-2-3-1,18.0,50.0,2024,Bayern Munich
3,2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Away,2.0,1.0,M'Gladbach,65.0,54042.0,4-2-3-1,25.0,66.7,2024,Bayern Munich
4,2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Home,2.0,2.0,Leverkusen,51.0,75000.0,4-2-3-1,16.0,80.0,2024,Bayern Munich
6,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,7.0,0.0,Bochum,62.0,75000.0,4-2-3-1,25.0,100.0,2024,Bayern Munich
8,2023-09-30,18:30,Bundesliga,Matchweek 6,Sat,Away,2.0,2.0,RB Leipzig,65.0,47069.0,4-2-3-1,10.0,0.0,2024,Bayern Munich
10,2023-10-08,17:30,Bundesliga,Matchweek 7,Sun,Home,3.0,0.0,Freiburg,69.0,75000.0,4-2-3-1,21.0,,2024,Bayern Munich
11,2023-10-21,18:30,Bundesliga,Matchweek 8,Sat,Away,3.0,1.0,Mainz 05,62.0,33305.0,4-2-3-1,13.0,66.7,2024,Bayern Munich
13,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,8.0,0.0,Darmstadt 98,54.0,75000.0,4-2-3-1,29.0,100.0,2024,Bayern Munich
15,2023-11-04,18:30,Bundesliga,Matchweek 10,Sat,Away,4.0,0.0,Dortmund,51.0,81365.0,4-2-3-1,14.0,100.0,2024,Bayern Munich
17,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Home,4.0,2.0,Heidenheim,72.0,75000.0,4-2-3-1,19.0,0.0,2024,Bayern Munich
18,2023-11-24,20:30,Bundesliga,Matchweek 12,Fri,Away,1.0,0.0,Köln,68.0,50000.0,4-2-3-1,21.0,100.0,2024,Bayern Munich
20,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,1.0,5.0,Eint Frankfurt,64.0,58000.0,4-2-3-1,20.0,16.7,2024,Bayern Munich
22,2023-12-17,19:30,Bundesliga,Matchweek 15,Sun,Home,3.0,0.0,Stuttgart,38.0,75000.0,4-2-3-1,17.0,100.0,2024,Bayern Munich
23,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,2.0,1.0,Wolfsburg,61.0,28917.0,4-2-3-1,21.0,75.0,2024,Bayern Munich
24,2024-01-12,20:30,Bundesliga,Matchweek 17,Fri,Home,3.0,0.0,Hoffenheim,61.0,75000.0,4-2-3-1,27.0,100.0,2024,Bayern Munich
25,2024-01-21,15:30,Bundesliga,Matchweek 18,Sun,Home,0.0,1.0,Werder Bremen,68.0,75000.0,4-2-3-1,22.0,66.7,2024,Bayern Munich
26,2024-01-24,20:30,Bundesliga,Matchweek 13,Wed,Home,1.0,0.0,Union Berlin,72.0,75000.0,4-2-3-1,22.0,100.0,2024,Bayern Munich
27,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,3.0,2.0,Augsburg,58.0,30660.0,4-2-3-1,13.0,85.7,2024,Bayern Munich
28,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,3.0,1.0,M'Gladbach,55.0,75000.0,4-2-3-1,20.0,50.0,2024,Bayern Munich
29,2024-02-10,18:30,Bundesliga,Matchweek 21,Sat,Away,0.0,3.0,Leverkusen,61.0,30210.0,3-4-3,9.0,62.5,2024,Bayern Munich
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,5.0,0.0,Bochum,60.0,53000.0,4-2-3-1,21.0,100.0,2024,Stuttgart
2,2023-08-25,20:30,Bundesliga,Matchweek 2,Fri,Away,1.0,5.0,RB Leipzig,46.0,46084.0,4-2-3-1,9.0,54.5,2024,Stuttgart
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,5.0,0.0,Freiburg,48.0,54300.0,4-2-3-1,13.0,100.0,2024,Stuttgart
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,3.0,1.0,Mainz 05,60.0,30500.0,4-2-3-1,15.0,66.7,2024,Stuttgart
5,2023-09-22,20:30,Bundesliga,Matchweek 5,Fri,Home,3.0,1.0,Darmstadt 98,58.0,54000.0,4-2-3-1,18.0,,2024,Stuttgart
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,2.0,0.0,Köln,60.0,50000.0,4-2-3-1,18.0,100.0,2024,Stuttgart
7,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Home,3.0,1.0,Wolfsburg,59.0,52000.0,4-2-3-1,13.0,80.0,2024,Stuttgart
8,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,3.0,0.0,Union Berlin,57.0,22012.0,4-2-3-1,10.0,100.0,2024,Stuttgart
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,2.0,3.0,Hoffenheim,73.0,53200.0,4-2-3-1,22.0,60.0,2024,Stuttgart
